name,keysig,mode,melody
deut012,2,0,(69 66 74 69 67 64 76 69 69 74 74 74 73 69 69 78 76 74 74 73 69 74 76 74 71 67 68 76 78 76 73 69 78 73 69 66 64 71 69 67 66 66 69 74 78 74 69 66 69 67 66 64 62)
deut013,2,0,(62 66 66 69 69 67 66 67 64 62 66 66 69 69 64 62 66 66 69 69 67 66 67 64 69 74 71 69 67 66 64 62 61 64 62 64 69 69 64 67 66 64 66 62 64 73 73 68 71 69 62 66 66 69 69 67 66 67 64 69 74 74 73 71 69 67 66 64 64 62)
deut014,2,0,(62 66 66 69 69 66 67 64 62 66 66 69 69 64 62 66 66 69 69 66 67 64 69 74 71 67 67 64 64 62 64 69 69 64 64 62 62 61 64 73 73 68 68 69 62 66 66 69 69 66 67 64 69 74 71 67 67 64 64 62)
deut015,2,0,(57 57 62 54 54 54 52 54 50 57 57 55 55 54 54 52 57 57 62 54 54 54 52 54 50 57 57 55 55 54 54 52 57 56 52 57 61 64 62 59 55 57 57 56 52 57 61 64 62 59 56 57 55 54 54 54 57 55 52 52 52 59 57 62 62 62 64 64 57 59 61 62)
deut016,1,0,(62 67 67 67 67 67 71 67 67 71 67 71 69 67 66 64 62 66 69 67 66 74 74 73 74 62 72 72 69 69 71 71 67 67 69 69 66 66 67 71 74 74 72 72 69 69 71 71 67 67 69 69 66 66 67)
deut017,-5,9,(65 70 70 70 73 72 70 77 72 72 72 73 73 75 75 77 77 77 70 70 72 74 75 75 75 75 65 65 65 67 69 70)
deut018,-5,9,(65 70 70 70 73 72 70 77 72 72 72 73 73 75 75 77 77 77 70 70 72 74 75 75 75 75 65 65 65 67 69 70 65 77 70 70 80 78 77 78 78 78 77 77 77 77 69 70 82 80 78 77 77 77 77 69 70)
deut019,3,0,(64 69 71 73 74 76 76 74 74 73 71 71 73 73 74 74 73 64 69 71 73 74 76 76 74 74 73 71 71 73 73 74 74 73 71 71 71 71 71 71 73 73 73 73 73 73 76 73 76 74 64 64 64 66 68 68 66 64 64 68 71 71 68 64 73 73 73 73 73 73 69 71 64 76 76 76 74 73 73 71 71 73)
deut020,-1,0,(65 69 72 72 72 74 72 72 70 70 70 74 72 70 69 69 72 70 69 67 65 69 72 72 72 74 72 72 70 70 70 74 72 70 69 69 72 70 69 67 65 65 74 74 74 74 76 77 74 74 72 72 72 70 69 67 74 72 70 69 65 65 74 74 74 74 76 77 74 74 72 72 77 70 69 67 74 72 70 67 65)
deut021,0,0,(55 60 60 55 55 57 57 52 53 50 55 55 48 60 60 48 60 60 48 52 53 50 55 55 48 60 60 64 64 62 62 60 60 62 62 59 59 60 64 60 64 60 64 60 62 62 59 59 60 64 64 67 67 65 65 64 67 65 65 62 62 64 67 64 67 64 67 67 65 65 62 62 64)
deut022,0,0,(67 64 65 67 74 72 71 69 71 72 71 71 71 72 71 76 74 74 72 69 71 67 67 67 67 69 67 67 67 67 67 72 72 71 69 71 72 64 64 69 67 67 65 62 64 60)
deut023,1,0,(71 72 74 67 67 69 71 72 71 69 71 72 74 71 69 67 69 71 67 71 72 74 67 67 69 71 72 71 69 71 72 74 71 69 67 69 71 67 69 69 71 71 72 71 69 69 71 76 74 73 74 74 79 78 76 74 74 72 71 74 76 74 72 71 74 72 71 74 79 78 76 74 74 72 71 69 69 67)
deut024,0,9,(64 69 72 64 69 72 72 71 69 68 69 67 67 72 76 76 74 72 71 72 67 67 72 76 76 74 72 71 72 72 69 69 68 71 71 72 71 69 68 69)
deut025,0,0,(55 55 55 60 52 55 48 55 60 60 64 62 59 55 55 55 55 60 52 55 48 55 60 60 64 62 59 55 64 60 60 62 64 65 62 62 64 60 60 62 64 62 59 55 60 59 60 52 53 55 48)
deut026,0,0,(60 52 55 60 52 55 60 55 60 64 64 62 60 59 60 57 62 55 55 65 64 62 62 60 59 60 64 55 55 57 65 64 62 60 62 64 62 60 60 60 59 57 59 60)
deut027,1,0,(67 74 74 74 69 71 69 67 67 67 67 79 79 79 78 76 74 71 72 76 69 72 71 74 67 71 69 71 72 62 64 66 67)
deut028,1,0,(62 62 67 67 66 67 69 67 71 74 71 69 71 67 67 71 74 74 69 72 71 69 67 67 71 74 74 69 72 71 69 67 62 62 67 67 66 67 69 62 67 71 74 71 69 71 67)
deut029,-2,0,(74 70 67 65 70 70 72 70 72 74 67 65 65 64 65 67 75 74 72 74 72 65 72 74 72 70 67 65 74 75 74 67 74 72 65 67 65 65 75 74 72 67 69 70)
deut030,1,0,(74 74 74 72 71 72 74 74 76 74 72 71 71 69 69 74 76 74 72 71 74 76 74 72 71 67 69 69 67 69 69 69 69 71)
deut031,-1,0,(72 72 69 72 72 69 72 74 74 77 74 72 69 70 70 70 69 70 72 72 70 69 67 67 67 64 67 69 69 69 70 69 67 72 72 74 74 76 77 74 72 69 72 70 67 64 65)
deut032,0,0,(55 60 64 62 60 59 60 62 64 62 62 62 60 59 57 55 55 55 59 62 62 62 64 65 64 62 65 64 62 60 62 59 59 60)
deut033,2,0,(69 66 74 69 67 67 66 67 69 66 71 69 67 66 69 67 67 66 64 69 69 69 69 64 73 73 73 73 69 71 69 68 69 69 69 69 66 74 69 67 67 66 67 69 66 69 69 74 69 78 74 69 67 66 64 62)
deut034,-1,0,(60 65 65 69 67 65 67 67 67 70 69 67 62 62 62 65 64 62 69 72 72 70 74 74 70 70 70 69 72 69 69 69 67 69 69 70 72 74 72 72 70 74 74 70 70 70 69 72 69 69 69 67 70 70 64 65)
deut035,1,0,(71 72 74 74 71 72 74 79 74 71 71 69 67 71 69 69 69 69 74 69 66 67 69 69 69 74 69 74 76 78 79 78 76 76 74 74 71 72 74 74 71 72 74 79 74 71 71 69 67)
deut036,-1,0,(65 69 70 72 77 76 74 72 65 69 65 74 72 72 64 67 64 74 72 72 65 69 65 69 70 72 81 79 77 77 65 69 65 74 72 72 64 67 64 74 72 65 65 74 72 72 64 67 64 74 72 72 65 69 65 74 72 72 64 67 64 74 72 72 77 72 69 70 72 81 79 77 77 65 69 65 74 72 72 64 67 64 74 72 65)
deut037,4,0,(68 69 71 68 68 80 76 68 73 73 63 63 71 71 63 64 63 64 66 66 68 70 71 71 73 75 78 76 75 73 71 70 71 68 69 71 73 71 71 76 68 73 71 71 69 69 68 69 73 71 71 69 68 64 66 68 69 71 73 69 69 68 66 64 66 68 69 71 73 69 69 68 66 68 69 71 68 68 80 76 68 73 73 63 63 71 71 63 64)
deut038,1,0,(71 69 67 71 74 74 71 67 66 69 74 74 72 69 66 69 74 74 72 69 67 71 74 74 71 69 67 71 74 74 71 67 66 69 74 74 72 69 66 69 74 74 72 69 67)
deut039,3,0,(69 64 64 62 61 66 66 66 68 69 71 73 74 71 69 73 69 69 64 64 62 61 66 66 66 68 69 71 73 74 71 69 73 69 73 71 69 71 76 69 68 66 68 73 75 76 71 73 69 68 66 64 69 64 64 62 61 66 66 66 68 69 71 73 74 71 69 73 69)
deut040,-2,0,(65 67 69 70 70 72 72 74 70 72 72 74 70 74 72 74 72 70 69 67 65 74 72 74 72 70 69 67 65 65 67 69 70 70 72 72 74 70 72 72 74 70 74 72 74 72 70 69 67 65 74 72 74 72 70 69 67 65 65 65 65 70 65 67 68 67 63 70 69 65 70 65 70 74 72 65 67 69 70 70 70 70 70 67 67 67 65 65 65 67 65 63 62 70 70 70 70 70 74 70 70 67 67 67 65 65 65 65 67 69 70 74 72 70 69 67 67 65 65 65 67 69 70)
deut041,1,0,(62 62 67 67 69 67 66 66 62 66 69 74 66 69 67 67 62 67 71 74 71 67 66 69 72 71 72 69 74 66 66 69 67 67)
deut042,1,0,(71 71 71 71 72 74 74 72 72 71 69 69 69 67 69 71 71 71 72 74 74 74 72 74 76 72 72 76 74 76 74 72 74 72 71 72 74 72 71 69 71 71 69 67 67)
deut043,-1,0,(60 65 67 69 70 72 72 72 72 74 77 76 74 72 72 72 70 70 70 70 69 69 72 72 69 65 67 69 72 72 69 65 67 65)
deut044,-1,0,(60 65 67 69 70 72 72 72 74 74 74 72 72 72 70 70 70 69 69 69 67 67 67 65 72 67 72 70 69 77 72 72 69 67 65)
deut045,-1,0,(60 60 65 65 67 69 70 72 72 72 74 74 74 72 72 72 70 70 70 69 69 69 67 67 67 65 72 67 72 70 69 77 72 72 69 67 65)
deut046,-1,0,(65 60 60 65 67 67 70 69 70 74 69 72 67 70 62 67 64 65 72 70 67 65 60 60 65 67 67 70 69 70 74 69 72 67 70 62 67 64 65 60 60 72 60 60 60 70 69 67 65 74 70 67 65 64 62 60 65 60 60 65 67 67 70 69 70 62 69 60 67 70 62 67 64 65)
deut047,0,0,(55 60 60 60 60 64 67 64 62 60 59 62 60 57 57 60 55 53 52 55 60 60 62 60 62 64 62 60 60 62 62 62 62 64 62 60 59 59 60 62 62 62 64 62 60 59 55 60 60 62 60 62 64 62 60)
deut048,0,0,(55 57 55 55 60 60 62 64 62 60 59 59 59 62 60 59 57 59 57 55 55 57 55 55 60 60 62 64 62 60 59 59 59 62 60 59 57 59 57 55 55 55 57 59 55 57 59 59 60 62 60 62 64 65 64 62 60 62 59 60)
deut049,3,0,(76 76 71 73 73 71 69 69 71 73 71 76 76 71 73 73 71 69 69 71 73 71 73 73 74 76 76 74 73 71 69 71 73 69 73 73 74 76 76 74 73 71 69 71 73 69)
deut050,1,0,(67 69 71 71 72 74 76 76 76 76 74 72 71 69 67 69 67 69 71 72 71 69 71 69 71 72 74 76 76 74 72 71 69 67)
deut051,-1,0,(65 69 72 71 72 74 72 71 72 74 72 69 65 69 67 70 64 67 65 69 72 69 67 70 64 67 65 65 69 72 71 72 74 72 71 72 74 72 69 65 69 67 70 64 67 65 69 72 69 67 70 64 67 65 69 67 67 69 69 70 70 69 69 67 67 69 69 70 70 69 69 67 67 69 69 70 69 67 65 69 72 71 72 74 72 71 72 74 72 69 65 69 67 70 64 67 65 69 72 69 67 70 64 67 65 65 69 72 71 72 74 72 71 72 74 72 69 65 69 67 70 64 67 65 69 72 69 67 70 64 67 65)
deut052,0,0,(60 59 60 55 52 48 60 59 60 55 57 57 57 57 55 55 60 64 65 64 64 62 53 55 55 58 57 60 53 57 57 57 60 59 62 55 55 60 64 62 60 59 60 52 53 55 48)
deut053,0,0,(60 59 60 55 52 48 60 59 60 55 57 57 57 57 55 55 60 64 65 64 64 62 53 55 55 58 57 60 53 57 57 57 60 59 62 55 55 60 64 62 60 59 60 52 53 55 52)
deut054,1,0,(62 67 67 67 69 66 62 67 71 62 62 67 67 67 69 66 62 67 71 74 71 69 69 69 79 76 73 74 74 74 72 69 69 69 67 69 67 71 62 74 74 72 69 69 69 67 69 67 71 74 74 79 79 79 79 78 77 76 76 74 76 74 72 71 69 67)
deut055,3,0,(69 69 69 73 69 73 76 76 76 73 69 71 71 71 71 69 66 64 68 66 63 64 69 69 69 73 69 73 76 76 76 73 69 71 71 71 71 69 66 64 68 66 63 64 64 68 71 68 69 71 73 74 73 71 69 71 64 73 71 69 71 64 69 69 69 66 74 73 71 69 73 71 68 69 64 68 71 68 69 71 73 74 73 71 69 71 64 73 71 69 71 64 69 69 69 66 74 73 71 69 73 71 68 69)
deut056,1,9,(71 64 64 71 71 69 67 67 67 66 63 59 60 59 63 64 67 74 71 67 74 71 67 72 69 66 62 67 71 69 74 67 71 71 66 67 66 64 63 66 71 71 66 67 70 71 71 72 72 72 72 71 64 69 67 69 66 64 66 63 64)
deut0567,-1,0,(60 65 65 65 67 69 67 65 69 69 69 70 72 70 69 65 77 77 76 74 72 72 74 70 67 70 72 69 65 67 69 72 70 67 65 72 74 70 67 70 72 69 65 67 69 72 70 67 65)
deut0568,-1,0,(60 65 65 65 69 72 69 65 69 72 72 72 77 72 69 69 72 74 72 70 69 67 67 65 69 72 69 67 69 70 67 67 65 69 72 70 67 65)
deut0569,-1,0,(60 65 65 67 67 69 69 67 65 69 69 72 72 70 70 72 69 69 72 67 69 65 64 65 67 72 69 69 67 67 65)
deut057,3,0,(64 62 61 64 64 66 68 69 71 69 68 66 64 66 69 71 73 71 64 62 61 64 64 66 68 69 71 73 71 69 66 64 73 73 71 69 76 74 73 76 69 71 73 74 76 74 73 74 73 71 73 74 76 78 76 74 73 76 71 73 69 71 73 71 69 66 64 73 73 71 69 76 74 73 76 69 71 73 74 76 74 73 74 73 71 73 74 76 78 76 74 73 76 71 73 69 71 73 71 69 66 64 76 74 73 71 69)
deut0570,-1,0,(60 65 65 69 72 77 76 74 72 77 77 74 70 67 72 69 69 72 70 70 67 67 69 69 70 72 69 67 65 65 65 65 69 67 65 67 65)
deut0571,-1,0,(60 65 64 65 67 69 67 65 69 67 69 70 72 70 69 65 77 74 77 72 72 74 70 67 74 72 69 65 67 69 72 70 67 65)
deut0572,1,0,(62 67 67 69 67 69 72 71 71 69 67 71 69 71 72 74 76 72 74 72 71 71 72 74 69 71 67 71 69 67 66 64 62 64 66 67 62 59 62 67 71 72 74 69 71 67 71 69 67 66 64 62 64 66 67 62 59 62 67)
deut0573,1,0,(62 67 67 69 69 72 71 71 69 67 69 71 72 69 67 66 69 64 62 62 67 71 74 67 66 69 72 74 71 71 72 66 67)
deut0574,3,0,(64 69 71 73 74 76 74 73 71 69 73 71 73 74 76 78 74 73 74 76 73 73 74 76 71 73 69 73 71 69 68 66 64 69 71 73 71 73 74 73 71 69)
deut0575,3,0,(64 69 69 71 69 71 73 71 69 73 74 76 78 76 73 76 74 73 73 76 71 74 73 71 69 71 69 68 66 64 66 68 69 64 61 64 69 73 76 71 74 73 71 69 71 69 68 66 64 66 68 69 64 61 64 69)
deut0576,3,0,(64 64 69 69 64 64 69 71 73 73 71 69 73 74 76 76 76 74 74 73 69 73 76 76 76 74 74 71 69 73 69 64 64 66 66 66 64 68 69)
deut0577,-1,0,(60 65 65 65 64 65 67 69 70 69 67 65 69 69 70 70 69 69 67 69 70 72 67 67 69 67 65 64 65 64 62 60 60 60 65 65 67 74 72 70 69 69 69 67 67 65)
deut0578,2,0,(62 66 69 69 67 66 69 74 71 71 69 67 67 69 71 71 71 73 74 76 73 69 69 69 74 74 74 76 78 74 69 71 73 74)
deut0579,-2,9,(62 67 69 70 70 69 67 67 67 74 74 72 69 74 72 70 72 69 69 69 69 74 72 72 74 70 69 70 67 69 70 74 72 70 69 70 67)
deut058,1,0,(71 69 67 67 69 67 66 67 69 71 69 69 66 62 62 74 74 71 69 67 71 69 67 66 67 69 67 66 67 69 71 69 69 74 74 69 69 66 64 62 62 66 69 69 71 69 67 69 71 69 67 74 74 66 66 69 67 66 67 69 71 69 67 69 71 71 72 71 69 71 72 74 76 72 69 66 66 67 66 64 66 67 71 69 66 67)
deut0580,1,0,(62 67 67 67 66 67 71 69 62 67 67 67 66 67 71 69 67 74 69 72 71 69 67 71 69 69 69 67 67 72 71 69 67 71 69 67)
deut0581,-3,0,(63 67 70 68 67 72 70 68 67 63 67 70 68 67 72 70 68 67 63 65 67 63 63 67 70 65 65 65 65 67 63 63 67 70 65 67 63)
deut0582,-1,0,(60 69 69 67 69 67 65 60 60 69 69 67 69 67 65 60 65 65 65 77 74 74 72 72 69 69 69 67 72 70 70 69 69)
deut0583,1,0,(62 67 67 62 62 64 62 62 67 67 62 62 64 62 62 62 71 71 69 69 67 67 71 69 69 74 74 71 69 67)
deut0584,-2,0,(65 70 65 70 72 69 65 65 70 65 70 72 69 65 65 65 74 74 72 70 62 65 70 69 63 63 67 67 65 62)
deut0585,0,0,(55 60 59 60 62 60 59 59 55 60 59 60 63 62 62 63 62 63 65 63 62 62 59 60 62 63 62 60 59 60)
deut0586,1,0,(67 67 66 67 69 69 71 67 72 71 69 74 71 67 74 76 74 72 74 72 71 72 71 69 71 72 74 76 72 71 69 67)
deut0587,-1,0,(72 74 72 70 69 69 69 69 67 69 65 65 69 69 67 67 69 67 69 70 72 74 72 67 69 65 69 67 67 65)
deut0588,0,0,(55 60 64 67 72 69 69 69 69 67 65 64 62 60 64 67 55 60 64 67 72 69 69 69 69 67 65 64 62 60 64 62 64 65 62 64 65 67 64 62 64 65 62 64 65 67 55 60 64 67 72 69 69 69 69 67 65 64 62 60)
deut0589,1,0,(67 71 74 76 74 72 71 71 69 69 67 67 67 67 67 69 62 62 62 67 67 67 67 69 62 62 62 67 71 74 74 74 72 71 71 69 69 67)
deut059,0,0,(52 53 55 64 60 52 53 55 64 60 55 55 55 53 62 53 53 52 52 53 55 64 62 53 53 52 60 59 53 50 47 57 55 53 50 48 52 59 60 64 62 55 59 62 65 64 60 64 67 69 67 62 64 60)
deut0590,3,0,(64 64 69 69 73 73 71 71 69 71 73 74 76 73 71 69 69 73 73 76 76 74 74 73 73 73 76 73 71 69 71 69 68 69 73 71 69 71 76 73 71 69 71 73 71 69)
deut0591,3,0,(64 69 64 69 71 73 74 73 71 64 69 64 69 71 73 74 73 71 71 76 74 73 71 69 71 69 68 66 64 71 76 74 73 69 71 73 71 69)
deut0592,1,0,(62 67 67 69 71 71 69 67 69 69 71 72 71 69 67 71 71 71 74 72 72 71 69 69 69 74 71 69 71 69 67 67 67 69 71 71 74 72 71 69 67)
deut0593,1,0,(62 67 69 71 72 71 69 67 69 69 71 74 72 71 69 67 71 74 76 74 72 72 71 69 69 74 71 69 71 69 67 67 69 71 71 76 74 72 74 71)
deut0594,1,0,(62 67 67 67 67 71 74 69 62 69 69 69 74 72 71 67 67 71 71 71 76 74 72 71 69 69 69 74 72 71 67 66 64 62 67 71 76 74 66 67)
deut0595,1,0,(62 67 69 71 67 69 71 69 71 72 76 76 74 72 71 67 67 76 76 74 72 69 69 74 74 71 71 62 64 66 67 76 76 74 72 74 71)
deut0596,0,9,(64 69 69 69 71 72 69 68 66 64 64 71 71 71 76 71 69 68 66 64 64 69 71 72 76 69 72 72 71 69 68 69)
deut0597,1,0,(62 67 67 67 67 67 66 64 62 67 74 74 71 71 69 69 74 69 67 66 64 62 67 67 67 67 67 67 67 67 67 71 69 67 66 67 69 67 66 64 62 62 62 72 71 71 69 69 74 76 72 71 71 69 69 67)
deut0598,-2,0,(65 70 70 70 69 67 65 65 65 77 74 72 70 65 70 70 70 69 67 65 65 65 77 74 72 70 77 74 74 77 75 72 72 65 70 72 74 75 77 70 74 72 70)
deut0599,1,0,(62 67 67 67 74 71 74 67 74 71 74 67 67 69 69 69 69 69 67 66 67 69 67 66 64 62 67 67 67 71 69 69 69 69 71 69 71 72 74 67 69 71 67)
deut060,0,0,(60 64 67 72 72 69 69 67 67 69 67 67 64 64 64 67 62 65 64 64 65 64 64 60 64 67 72 76 74 71 72)
deut0600,1,0,(62 67 67 71 69 71 72 74 72 71 69 71 74 72 71 69 69 69 69 69 69 69 67 66 67 69 67 66 64 62 67 67 67 71 69 69 69 69 71 69 71 72 74 74 72 71 69 67)
deut0601,-1,0,(60 65 65 69 69 70 72 72 70 69 77 72 70 69 70 72 69 72 72 70 70 69 67 67 70 69 67 65 60 65 67 69 65 67 69 70 72 69 69 69 69 67 67 65 77 72 70 69 69 69 69 67 67 65)
deut0602,-3,0,(63 67 70 72 70 68 67 65 63 70 72 70 68 67 65 63 67 70 70 70 75 72 70 72 68 67 65 63 62 63 65 65 67 65 65 67 65 65 67 70 67 75 70 63 67 70 70 70 75 72 70 72 68 67 65 63)
deut0603,-2,0,(65 70 74 74 72 70 69 72 72 70 72 74 74 72 70 72 70 74 77 77 75 74 72 75 75 74 74 74 74 72 70 69 72 72 70 72 74 74 72 72 70)
deut0604,-2,0,(65 70 70 70 70 70 72 72 72 70 72 74 75 74 72 65 72 72 72 74 75 74 72 74 70 70 72 74 70 72 74 72 65 65 74 74 74 72 72 70)
deut0605,-1,0,(65 69 72 69 77 74 72 72 70 69 69 69 72 69 69 67 67 65 67 69 67 67 67 65 77 72 69 69 69 72 72 70 69)
deut0606,1,0,(62 67 67 67 74 71 69 67 69 69 71 72 72 72 74 71 71 71 74 69 69 69 74 72 71 69 67)
deut0607,0,0,(55 60 60 62 62 64 62 64 65 64 62 62 60 55 60 60 62 62 64 62 64 65 64 62 62 60 67 67 67 67 65 64 62 64 65 64 62 60 62 55 60 64 62 60 59 57 55 57 60 60 59 60)
deut0608,-1,0,(65 72 72 74 74 72 69 72 69 72 69 65 72 72 74 74 72 69 72 69 72 69 72 70 70 69 65 72 72 69 65 67 65)
deut0609,-1,0,(65 65 65 65 62 60 67 67 67 69 70 67 67 65 69 70 70 70 69 67 67 69 72 72 70 69 67 67 69 70 67 67 65)
deut061,0,9,(69 69 69 69 69 72 71 69 68 68 68 68 68 71 69 68 69 69 69 69 69 72 71 69 68 76 76 68 69 72 72 72 72 72 76 74 72 71 71 71 71 71 74 72 71 69 69 69 69 69 72 71 69 68 71 76 74 72 71 69)
deut0610,0,9,(64 69 72 71 69 69 68 68 64 69 71 72 72 71 69 72 71 72 69 72 76 69 71 72 69 68 66 64 71 72 71 72 69 72 76 72 71 69 68 71 69)
deut0611,0,9,(64 69 71 72 71 69 68 69 71 72 74 76 74 72 72 71 72 74 71 72 76 76 69 72 71 69 68 66 64 71 72 72 71 71 72 74 76 74 72 69 71 71 69)
deut0612,-4,9,(63 63 68 68 65 65 63 63 63 68 68 70 70 72 68 67 65 67 68 70 72 65 67 68 65 67 60 60 68 67 65 67 68 70 72 70 68 65 67 64 65)
deut0613,1,9,(62 67 69 71 72 71 69 67 62 67 69 71 72 71 69 67 66 64 66 67 69 71 67 66 64 66 64 66 67 69 71 67 66 64)
deut0614,1,0,(74 72 71 69 69 76 74 74 72 71 74 72 72 71 69 69 76 74 72 71 67 67 67 67 67 69 67 72 76 79 78 76 74 79 71 74 74 69 71 72 74 71)
deut0615,1,0,(67 67 69 71 69 71 72 71 69 71 69 67 67 66 67 71 69 71 69 67 69 66 64 66 62 64 66 67 69 71 69 71 64 64 62 67 67 71 67)
deut0616,-2,0,(65 70 65 70 65 70 74 70 65 65 67 65 67 65 67 63 62 65 67 65 67 65 72 70 70)
deut0617,1,0,(62 67 67 67 71 74 67 71 69 67 66 69 72 72 72 76 79 72 76 74 72 71 67 69 69 69 71 72 66 69 67 67)
deut0618,1,0,(67 67 71 74 71 76 72 74 71 74 74 72 69 67 71 69 62 67 67 69 74 71 69 66 67)
deut0619,1,0,(67 71 74 71 74 67 76 76 74 71 72 74 74 72 69 67 66 67 69 67 62 71 74 72 69 71 69 67 66 67)
deut062,0,0,(60 60 60 59 57 55 57 57 59 60 62 60 60 60 60 59 57 55 57 57 59 60 62 60 64 64 64 65 65 65 62 62 62 67 67 67 60 60 62 62 55 57 59 60)
deut0620,1,0,(62 67 67 67 69 71 71 69 69 69 69 66 69 69 69 71 72 72 71 71 67 67 67 67 67 69 71 72 69 74 71 67 67 69 69 72 69 66 69 67)
deut0621,1,0,(62 62 64 66 67 69 71 69 69 66 62 62 69 69 69 74 74 74 71 69 67 67 71 74 74 74 76 76 76 74 72 71 74 76 76 74 72 71 69 67)
deut0622,1,0,(62 62 64 66 67 69 71 69 67 66 64 62 62 66 69 67 69 74 74 71 69 66 67 67 71 74 71 74 76 74 76 74 71 67 71 74 79 74 71 74 72 71 69 67 67 71 74 71 74 76 74 76 74 71 67 71 74 79 74 71 74 72 71 69 67)
deut0623,1,0,(71 71 71 64 59 64 66 64 71 71 71 69 69 71 69 67 74 74 74 67 67 72 71 69 64 62 62 71 62 67 71 69 67 74 74 74 67 67 72 71 69 64 62 62 59 62 67 71 69 67)
deut0624,-1,0,(65 69 65 69 70 72 72 77 72 69 70 69 69 67 65 69 72 77 72 69 70 69 67 65)
deut0625,-3,0,(63 67 70 70 70 70 68 67 65 67 70 65 65 65 65 63 67 70 70 70 70 68 67 65 67 70 65 65 65 65 75 72 70 70 68 65 63 63 63 72 72 72 70 75 74 72 70 70 68 65 63 63 67 70 62 62 63)
deut0626,-3,0,(63 67 70 70 70 70 68 67 65 63 67 65 65 65 65 63 67 70 70 70 70 68 67 65 63 67 65 65 65 65 75 70 70 67 65 63 67 67 68 68 72 70 75 75 70 70 67 65 63 67 67 70 70 68 67)
deut0627,-3,0,(63 65 67 67 67 67 67 67 65 63 65 58 58 58 58 65 67 68 68 68 68 68 68 72 70 68 67 67 67 67 72 70 68 67 65 63 63 63 63 72 72 70 72 70 68 67 65 63 63 63 67 70 70 68 67)
deut0628,-1,0,(72 74 72 70 67 65 69 69 67 70 70 69 72 72 72 74 72 70 67 72 72 65)
deut0629,0,0,(55 60 60 59 57 57 55 55 57 53 53 57 55 55 55 60 60 59 57 57 55 55 57 59 60)
deut063,3,0,(64 69 69 64 64 73 73 64 64 64 69 69 64 64 73 69 64 69 69 64 64 73 73 64 64 64 69 69 64 64 73 69 76 64 64 64 64 66 63 64 76 64 64 64 66 63 64 69 64 71 64 73 74 71 69)
